"Source:","F:\Projects\Connect4 Board\PCB\PCB.sch"
"Date:","11/10/2019 2:31:52 AM"
"Tool:","Eeschema (5.99.0-126-g64b5e8bee)"
"Component Count:","89"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"D1","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D2","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D3","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D4","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D5","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D6","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D7","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D8","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D9","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D10","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D11","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D12","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D13","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D14","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D15","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D16","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D17","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D18","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D19","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D20","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D21","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D22","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D23","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D24","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D25","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D26","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D27","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D28","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D29","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D30","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D31","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D32","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D33","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D34","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D35","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D36","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D37","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D38","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D39","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D40","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D41","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D42","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"D43","LED_RCGB","LED_THT:LED_D5.0mm-4_RGB","~","",""
"H1","3.2mm Mounting Hole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H2","3.2mm Mounting Hole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H3","3.2mm Mounting Hole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H4","3.2mm Mounting Hole","MountingHole:MountingHole_3.2mm_M3","~","",""
"J1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","",""
"J2","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","",""
"J3","Power","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"R1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R2","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R3","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R4","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R5","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R6","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R7","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R8","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R9","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R10","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R11","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R12","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R13","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R14","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R15","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R16","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R17","560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
